Fecha Modificacion;Fecha Descarga;Cod. Puesto;Dotacion;Puesto;Cod. Departamento-Organismo Autonomo;Departamento-Organismo Autonomo;Cod. Centro Organico;Centro Organico;Cod. Centro Destino;Centro Destino;Categoria Retributiva;Perfil Linguistico;Fecha de Preceptividad;Importe retributivo
09/05/2016;09/03/2017;3459;8;CONDUCTOR DE DEPARTAMENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;20100000000;DIRECCION DE SERVICIOS;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;31/10/1991;29.041,18
09/05/2016;09/03/2017;3054;1;CAJERO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;2;31/10/1992;22.155,70
09/05/2016;09/03/2017;3055;1;ENCARGADO COCINA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;;29.041,18
09/05/2016;09/03/2017;3063;1;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/03/1993;22.155,70
09/05/2016;09/03/2017;3063;2;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/03/1993;22.155,70
09/05/2016;09/03/2017;3063;3;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/03/1993;22.155,70
09/05/2016;09/03/2017;3063;4;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/10/2003;22.155,70
09/05/2016;09/03/2017;3063;6;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/10/2003;22.155,70
09/05/2016;09/03/2017;3063;7;CAMARERA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/03/2007;22.155,70
09/05/2016;09/03/2017;3064;1;COCINERO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;3;1;;24.938,08
09/05/2016;09/03/2017;3064;3;COCINERO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;23200000000;DIRECCION DE RELACIONES LABORALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;3;1;;24.938,08
09/05/2016;09/03/2017;3058;1;RESPONSABLE GESTION Y MANTENIMIENTO DE R;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24100000000;DIRECCION DE INFORMATICA Y TELECOM.;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;2;31/10/2015;36.704,96
09/05/2016;09/03/2017;3056;1;RESP. MANTENIMIENTO DE EDIFICIOS VITORIA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;2;31/03/2014;34.657,56
09/05/2016;09/03/2017;3057;1;RESPONSABLE DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;2;31/03/2014;34.657,56
09/05/2016;09/03/2017;3059;1;RESPONSABLE IMPRENTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;2;31/03/1994;34.657,56
09/05/2016;09/03/2017;3061;10;TECNICO DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;31/10/2013;29.041,18
09/05/2016;09/03/2017;3061;3;TECNICO DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;;29.041,18
09/05/2016;09/03/2017;3061;4;TECNICO DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;;29.041,18
09/05/2016;09/03/2017;3061;5;TECNICO DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;;29.041,18
09/05/2016;09/03/2017;3061;7;TECNICO DE MANTENIMIENTO;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;2;;29.041,18
09/05/2016;09/03/2017;3062;1;AUXILIAR IMPRENTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;1;31/10/1993;27.557,48
09/05/2016;09/03/2017;3062;2;AUXILIAR IMPRENTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;1;31/03/2014;27.557,48
09/05/2016;09/03/2017;3065;1;CONDUCTOR;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;4;1;31/10/1992;26.289,50
09/05/2016;09/03/2017;3067;1;ORDENANZA ALMACEN;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/10/1991;22.155,70
09/05/2016;09/03/2017;3067;2;ORDENANZA ALMACEN;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/10/1993;22.155,70
09/05/2016;09/03/2017;3067;3;ORDENANZA ALMACEN;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;1;1;31/10/1994;22.155,70
09/05/2016;09/03/2017;3309;1;MECANICO ELECTRICISTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;;29.041,18
09/05/2016;09/03/2017;3309;2;MECANICO ELECTRICISTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;;29.041,18
09/05/2016;09/03/2017;3309;3;MECANICO ELECTRICISTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;;29.041,18
09/05/2016;09/03/2017;3309;4;MECANICO ELECTRICISTA;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;31/03/2014;29.041,18
09/05/2016;09/03/2017;3316;1;PERSONAL DE SEGURIDAD;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;5;1;31/10/1991;27.557,48
09/05/2016;09/03/2017;3316;13;PERSONAL DE SEGURIDAD;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;1;31/03/2007;27.557,48
09/05/2016;09/03/2017;3316;14;PERSONAL DE SEGURIDAD;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;5;1;31/10/2003;27.557,48
09/05/2016;09/03/2017;3316;15;PERSONAL DE SEGURIDAD;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;1;31/10/2003;27.557,48
09/05/2016;09/03/2017;3316;6;PERSONAL DE SEGURIDAD;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;5;1;31/10/1991;27.557,48
09/05/2016;09/03/2017;3355;1;AYUDANTE DE CONDUCTOR;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;2;1;;23.612,82
09/05/2016;09/03/2017;3453;1;AYUDANTE DE TALLER;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;2;1;;23.612,82
09/05/2016;09/03/2017;3463;1;ADMINISTRATIVO DEL SERVICIO TERRITORIAL;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;156;GOBIERNO VASCO - DONOSTIA, ANDIA, 13;5;2;31/10/2002;27.557,48
09/05/2016;09/03/2017;3479;1;TECNICO RECURSOS GENERALES;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;3;31/03/2014;36.704,96
09/05/2016;09/03/2017;3479;2;TECNICO RECURSOS GENERALES;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;3;31/03/2008;36.704,96
09/05/2016;09/03/2017;3479;3;TECNICO RECURSOS GENERALES;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;3;31/03/2014;36.704,96
09/05/2016;09/03/2017;3481;1;RESPONSABLE TALLER DE PARQUE MOVIL;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;9;2;31/03/2014;34.657,56
09/05/2016;09/03/2017;3543;1;TECNICO RECURSOS GENERALES (AUDIOVISUALE;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;156;GOBIERNO VASCO - DONOSTIA, ANDIA, 13;7;2;;30.499,70
09/05/2016;09/03/2017;3543;2;TECNICO RECURSOS GENERALES (AUDIOVISUALE;2;GOBERNANZA PUBLICA Y AUTOGOBIERNO;24200000000;DIRECCION DE RECURSOS GENERALES;755;GOBIERNO VASCO - BILBAO, GRAN VIA, 85;7;2;31/03/2014;30.499,70
09/05/2016;09/03/2017;3459;12;CONDUCTOR DE DEPARTAMENTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30200000000;DIRECCION DE SERVICIOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;31/10/1991;29.041,18
09/05/2016;09/03/2017;3459;21;CONDUCTOR DE DEPARTAMENTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30200000000;DIRECCION DE SERVICIOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;31/03/2014;29.041,18
09/05/2016;09/03/2017;3459;23;CONDUCTOR DE DEPARTAMENTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30200000000;DIRECCION DE SERVICIOS GENERALES;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;31/10/1991;29.041,18
09/05/2016;09/03/2017;3037;1;MECANICO SUPERVISOR;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30210000000;DELEGACION TERRITORIAL DE ARABA;1097;GOBIERNO VASCO - GASTEIZ, SAMANIEGO, 2 Y 6;9;1;;34.657,56
09/05/2016;09/03/2017;3036;1;MECANICO INSPECTOR;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30220000000;DELEGACION TERRITORIAL DE GIPUZKOA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;9;1;31/03/2014;34.657,56
09/05/2016;09/03/2017;3037;2;MECANICO SUPERVISOR;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30220000000;DELEGACION TERRITORIAL DE GIPUZKOA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;9;1;;34.657,56
09/05/2016;09/03/2017;3455;1;AUXILIAR ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30220000000;DELEGACION TERRITORIAL DE GIPUZKOA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;5;2;31/03/2002;27.557,48
09/05/2016;09/03/2017;3037;3;MECANICO SUPERVISOR;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;9;1;;34.657,56
09/05/2016;09/03/2017;3037;4;MECANICO SUPERVISOR;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;9;1;31/03/2014;34.657,56
09/05/2016;09/03/2017;3444;6;AUXILIAR ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;3;2;;24.938,08
09/05/2016;09/03/2017;3456;1;TECNICO SUSTANCIAS QUIMICAS;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;12;4;;41.910,58
09/05/2016;09/03/2017;3457;2;AUXILIAR ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;4;2;;26.289,50
09/05/2016;09/03/2017;3457;3;AUXILIAR ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;4;2;31/10/2008;26.289,50
09/05/2016;09/03/2017;3465;1;ADMINISTRATIVO DE ATENCION AL CIUDADANO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;5;2;31/03/2003;27.557,48
09/05/2016;09/03/2017;3541;1;ADMINISTRATIVO/A B;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;30230000000;DELEGACION TERRITORIAL DE BIZKAIA;592;GOBIERNO VASCO - BILBAO, GENERAL CONCHA, 23;6;2;;29.041,18
09/05/2016;09/03/2017;3458;1;ASESOR JURIDICO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;32200000000;DIR.ENERGIA, MINAS Y ADMON.INDUSTRIAL;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;12;4;;41.910,58
09/05/2016;09/03/2017;3486;1;TECNICO AYUDAS FEOGA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33200000000;DIR.DE AGRICULTURA Y GANADERIA;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;10;4;;36.704,96
09/05/2016;09/03/2017;3487;1;ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33200000000;DIR.DE AGRICULTURA Y GANADERIA;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;7;3;31/10/2006;30.499,70
09/05/2016;09/03/2017;3024;1;JEFE GRUPO INSPECTOR PESCA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;10;2;31/03/2000;36.704,96
09/05/2016;09/03/2017;3444;7;AUXILIAR ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;3;2;31/10/2007;24.938,08
09/05/2016;09/03/2017;3500;1;INSPECTOR DE PESCA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;57;SERVICIO DE INSPECCION PESQUERA;8;2;31/03/2000;32.422,88
09/05/2016;09/03/2017;3500;2;INSPECTOR DE PESCA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;8;2;31/10/1997;32.422,88
09/05/2016;09/03/2017;3501;1;INSPECTOR DE PESCA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;57;SERVICIO DE INSPECCION PESQUERA;8;2;31/10/2003;32.422,88
09/05/2016;09/03/2017;3501;4;INSPECTOR DE PESCA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;33300000000;DIR.PESCA Y ACUICULTURA;427;GOBIERNO VASCO - DONOSTIA, EASO, 10;8;2;31/03/2000;32.422,88
09/05/2016;09/03/2017;3338;1;CABO DE GUARDAMUELLES;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;9;1;31/10/2005;34.657,56
09/05/2016;09/03/2017;3338;2;CABO DE GUARDAMUELLES;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;327;SERVICIO DE PUERTOS DE BERMEO;9;1;31/03/2003;34.657,56
09/05/2016;09/03/2017;3338;3;CABO DE GUARDAMUELLES;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;133;SERVICIO DE PUERTOS DE GETARIA;9;1;31/03/2003;34.657,56
09/05/2016;09/03/2017;3339;3;GUARDAMUELLES DE PUERTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;4;1;31/03/2003;26.289,50
09/05/2016;09/03/2017;3339;6;GUARDAMUELLES DE PUERTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;8;SERVICIO DE PUERTOS;4;1;31/03/2003;26.289,50
09/05/2016;09/03/2017;3339;7;GUARDAMUELLES DE PUERTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;8;SERVICIO DE PUERTOS;4;1;31/03/2003;26.289,50
09/05/2016;09/03/2017;3339;8;GUARDAMUELLES DE PUERTO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;327;SERVICIO DE PUERTOS DE BERMEO;4;1;31/10/2011;26.289,50
09/05/2016;09/03/2017;3343;1;OFICIAL DE SEGUNDA;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;1018;SERVICIO DE PUERTOS DE LEKEITIO;3;1;31/10/2005;24.938,08
09/05/2016;09/03/2017;3344;10;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;133;SERVICIO DE PUERTOS DE GETARIA;1;1;31/03/2014;22.155,70
09/05/2016;09/03/2017;3344;2;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;1;1;;22.155,70
09/05/2016;09/03/2017;3344;3;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;1;1;31/03/2014;22.155,70
09/05/2016;09/03/2017;3344;4;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;1;1;;22.155,70
09/05/2016;09/03/2017;3344;5;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;37;SERVICIO DE PUERTOS DE PLENCIA;1;1;;22.155,70
09/05/2016;09/03/2017;3344;6;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;1018;SERVICIO DE PUERTOS DE LEKEITIO;1;1;;22.155,70
09/05/2016;09/03/2017;3344;7;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;1128;SERVICIO DE PUERTOS DE HONDARRIBIA;1;1;;22.155,70
09/05/2016;09/03/2017;3344;8;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;8;SERVICIO DE PUERTOS;1;1;;22.155,70
09/05/2016;09/03/2017;3344;9;PEON;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;133;SERVICIO DE PUERTOS DE GETARIA;1;1;31/03/2014;22.155,70
09/05/2016;09/03/2017;3356;1;OFICIAL DE PRIMERA ADMINISTRATIVO;3;DESARROLLO ECONOMICO E INFRAESTRUCTURAS;34100000000;DIR.DE INFRAESTRUCTURAS DEL TRANSPORTE;176;SERVICIO DE PUERTOS DE ONDARROA;5;2;31/03/2000;27.557,48
09/05/2016;09/03/2017;3459;15;CONDUCTOR DE DEPARTAMENTO;4;EMPLEO Y POLITICAS SOCIALES;40200000000;DIRECCION DE SERVICIOS Y REGIMEN JURID.;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;;29.041,18
09/05/2016;09/03/2017;3458;2;ASESOR JURIDICO;4;EMPLEO Y POLITICAS SOCIALES;42200000000;DIR.DE POLIT.FAM.Y DESAR.COMUNITAR.;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;12;4;;41.910,58
09/05/2016;09/03/2017;3459;19;CONDUCTOR DE DEPARTAMENTO;5;MEDIO AMBIENTE, PLANIF.TERRI.Y VIVIENDA;51100000000;DIRECCION DE SERVICIOS;117;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;6;1;;29.041,18
09/05/2016;09/03/2017;3457;6;AUXILIAR ADMINISTRATIVO;5;MEDIO AMBIENTE, PLANIF.TERRI.Y VIVIENDA;53010000000;DELEG.TERRITORIAL DE VIVIENDA-ARABA;1097;GOBIERNO VASCO - GASTEIZ, SAMANIEGO, 2 Y 6;4;2;;26.289,50
