Nombre Apellidos,Cargo Publico,Retribuciones2014Retribuciones2015,Fecha Inicio Relacion,Fecha Fin Relacion,Id_Dpto,Departamento,Id_Organo,Organo,Id_Centro_Organico,Centro Organico,Fecha Actualizacion
ANA AGUIRRE ZURUTUZA,VICECONSEJERO/A,8442964,27/12/2012,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2400000,VICECONSEJERIA DE JUSTICIA,30/11/2015
ANA AGUIRRE ZURUTUZA,VICECONSEJERO/A,8600283,27/12/2012,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2400000,VICECONSEJERIA DE JUSTICIA,22/06/2016
XABIER AIERDI URRAZA,ASESOR/A DE GABINETE,7329566,07/10/2013,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,30/11/2015
XABIER AIERDI URRAZA,ASESOR/A DE GABINETE,610797,07/10/2013,09/02/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
XABIER AIERDI URRAZA,ASESOR/A DE GABINETE,6718767,10/02/2015,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4000000,CONSEJERIA,22/06/2016
ANTONIO AIZ SALAZAR,VICECONSEJERO/A,7867383,25/04/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,9,Departamento de Medio Ambiente y Politica Territorial,9300000,VICECONSEJERIA DE TRANSPORTES,30/11/2015
ANTONIO AIZ SALAZAR,VICECONSEJERO/A,7867384,25/04/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,9,Departamento de Medio Ambiente y Politica Territorial,9300000,VICECONSEJERIA DE TRANSPORTES,22/06/2016
PATXI XABIER AIZPURUA TELLERIA,DIRECTOR/A IVEI (RANGO DIRECTOR),7216682,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6200000,VICECONSEJERIA DE EDUCACION,30/11/2015
PATXI XABIER AIZPURUA TELLERIA,DIRECTOR/A IVEI (RANGO DIRECTOR),7227841,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6200000,VICECONSEJERIA DE EDUCACION,22/06/2016
IªIGO ALBERDI AMASORRAIN,DIRECTOR/A GENERAL DE LA SOCIEDAD,3913410,03/03/2006,31/07/2014,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,165,Orquesta de Euskadi SA,165010000,Orquesta de Euskadi SA,30/11/2015
ANA JESUSA ALBERDI ZUBIA,SECRETARIO/A GENERAL (NIVEL DIRECTOR),7329566,15/02/2013,,1,01  LEHENDAKARITZA,47,EMAKUNDE Instituto Vasco de la Mujer,47110000,SECRETARIA GENERAL,30/11/2015
ANA JESUSA ALBERDI ZUBIA,SECRETARIO/A GENERAL (NIVEL DIRECTOR),7440881,15/02/2013,,1,01  LEHENDAKARITZA,47,EMAKUNDE Instituto Vasco de la Mujer,47110000,SECRETARIA GENERAL,22/06/2016
ARANTZA ALBIZURI SANZ,DIRECTOR/A ECONOMICOFINANCIERO GR3,6636501,06/05/2014,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60124000,ORGANIZACION SANITARIA INTEGRADA BARAKALDOSESTAO,30/11/2015
ARANTZA ALBIZURI SANZ,DIRECTOR/A ECONOMICOFINANCIERO GR3,6781238,06/05/2014,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60124000,ORGANIZACION SANITARIA INTEGRADA BARAKALDOSESTAO,22/06/2016
JOSEBA ANDONI ALCALDE AMUTXATEGI,ASESOR/A NORMATIVA HACENDISTICA Y FINANCIERA,8488245,19/04/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5000000,CONSEJERIA,30/11/2015
JOSEBA ANDONI ALCALDE AMUTXATEGI,ASESOR/A NORMATIVA HACENDISTICA Y FINANCIERA,8613270,19/04/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5000000,CONSEJERIA,22/06/2016
IGNACIO ALDAY RUIZ,DIRECTOR/A,6708704,01/08/2012,,5,05  HACIENDA Y FINANZAS,54,Autoridad Vasca de la Competencia,54110000,DIRECCION DE INVESTIGACION,30/11/2015
IGNACIO ALDAY RUIZ,DIRECTOR/A,6708702,01/08/2012,,5,05  HACIENDA Y FINANZAS,54,Autoridad Vasca de la Competencia,54110000,DIRECCION DE INVESTIGACION,22/06/2016
JON ANDONI ALDEKOA DE LA TORRE,DIRECTOR/A,3641317,23/10/2015,,1,01  LEHENDAKARITZA,1,Lehendakaritza,1010000,DIRECCION DE COMUNICACION,22/06/2016
JON ANDONI ALDEKOA DE LA TORRE,ASESOR/A DE LA SECRETARIA GENERAL DE PRESIDENCIA,1279809,07/04/2015,22/10/2015,1,01  LEHENDAKARITZA,1,Lehendakaritza,1100000,SECRETARIA GENERAL DE LA PRESIDENCIA,22/06/2016
IªAKI ALDEKOGARAI LABAKA,DIRECTOR/A,7160240,25/04/2013,06/09/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3020000,DIRECCION DE SERVICIOS,30/11/2015
IªAKI ALDEKOGARAI LABAKA,DIRECTOR/A,4710722,25/04/2013,06/09/2015,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3020000,DIRECCION DE SERVICIOS,22/06/2016
MARIA EUGENIA ALKIZA EIZAGUIRRE,DIRECTOR/A DE COORDINACION ASISTENCIAL AREA MEDICA GR3,7115892,23/04/2013,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60133000,ORGANIZACION SANITARIA INTEGRADA BIDASOA,30/11/2015
MARIA EUGENIA ALKIZA EIZAGUIRRE,DIRECTOR/A DE COORDINACION ASISTENCIAL AREA MEDICA GR3,7115892,23/04/2013,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60133000,ORGANIZACION SANITARIA INTEGRADA BIDASOA,22/06/2016
ITZIAR ALKORTA IDIAKEZ,VICECONSEJERO/A,8262477,27/12/2012,12/06/2015,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6400000,VICECONSEJERIA DE UNIVERSIDADES E INVESTIGACION,30/11/2015
ITZIAR ALKORTA IDIAKEZ,VICECONSEJERO/A,3743511,27/12/2012,12/06/2015,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6400000,VICECONSEJERIA DE UNIVERSIDADES E INVESTIGACION,22/06/2016
FRANCISCO JAVIER ALONSO ALDAMA,DIRECTOR/A,6708704,25/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6410000,DIRECCION DE UNIVERSIDADES,30/11/2015
FRANCISCO JAVIER ALONSO ALDAMA,DIRECTOR/A,6677787,25/01/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6410000,DIRECCION DE UNIVERSIDADES,22/06/2016
MIREN MAITE ALONSO ARANA,PRESIDENTE/A DEL CONSEJO ESCOLAR,7207429,10/09/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6000000,CONSEJERIA,30/11/2015
MIREN MAITE ALONSO ARANA,PRESIDENTE/A DEL CONSEJO ESCOLAR,7308604,10/09/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6000000,CONSEJERIA,22/06/2016
BELEN ALONSO FERNANDEZ DE GARAYALDE,ASESOR/A NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFOR,6708704,19/04/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3000000,CONSEJERIA,30/11/2015
BELEN ALONSO FERNANDEZ DE GARAYALDE,ASESOR/A NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFOR,6708702,19/04/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3000000,CONSEJERIA,22/06/2016
ADOLFO ALUSTIZA FERNANDEZ,DIRECTOR/A GENERAL (NIVEL VICECONSEJERO),8431803,27/12/2012,,4,04  EMPLEO Y POLITICAS SOCIALES,53,LANBIDE Servicio Vasco de Empleo,53100000,DIRECCION GENERAL,30/11/2015
ADOLFO ALUSTIZA FERNANDEZ ,DIRECTOR/A GENERAL (NIVEL VICECONSEJERO),8435780,27/12/2012,,4,04  EMPLEO Y POLITICAS SOCIALES,53,LANBIDE Servicio Vasco de Empleo,53100000,DIRECCION GENERAL,22/06/2016
DAVID ALVAREZ MARTINEZ,ASESOR/A EN MATERIA JURIDICA SUBVENCIONES Y CONTRATACION,1497294,13/10/2014,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5000000,CONSEJERIA,30/11/2015
DAVID ALVAREZ MARTINEZ,ASESOR/A EN MATERIA JURIDICA SUBVENCIONES Y CONTRATACION,6884924,13/10/2014,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5000000,CONSEJERIA,22/06/2016
MARIA TERESA AMEZQUETA ALEGRIA,DIRECTOR/A,2301690,07/09/2015,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,3,Departamento de Desarrollo Economico y Competitividad,3020000,DIRECCION DE SERVICIOS,22/06/2016
LIDE AMILIBIA BERGARETXE,VICECONSEJERO/A,7345931,13/06/2015,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4200000,VICECONSEJERIA DE POLITICAS SOCIALES,22/06/2016
LIDE AMILIBIA BERGARETXE,DIRECTOR/A,6708704,11/01/2013,12/06/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4210000,DIRECCION DE SERVICIOS SOCIALES,30/11/2015
LIDE AMILIBIA BERGARETXE,DIRECTOR/A,7345931,11/01/2013,12/06/2015,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4210000,DIRECCION DE SERVICIOS SOCIALES,22/06/2016
PEDRO ANITUA ALDEKOA,DIRECTOR/A,7273124,10/12/2010,,7,07  SEGURIDAD,7,Departamento de Seguridad,7210000,DIRECCION ATENCION EMERGENCIAS Y METEOROLOGIA,30/11/2015
PEDRO ANITUA ALDEKOA,DIRECTOR/A,7321034,10/12/2010,,7,07  SEGURIDAD,7,Departamento de Seguridad,7210000,DIRECCION ATENCION EMERGENCIAS Y METEOROLOGIA,22/06/2016
IªIGO ANSOLA KAREAGA,DIRECTOR/A GENERAL,7867400,30/01/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,61,URA Agencia Vasca del Agua,61100000,DIRECCION GENERAL,30/11/2015
IªIGO ANSOLA KAREAGA,DIRECTOR/A GENERAL,7867384,30/01/2013,,9,09  MEDIO AMBIENTE Y POLITICA TERRITORIAL,61,URA Agencia Vasca del Agua,61100000,DIRECCION GENERAL,22/06/2016
FATIMA ANSOTEGI ELORDI,DIRECTOR/A,6708704,03/01/2013,,8,08  SALUD,8,Departamento de Salud,8010000,DIRECCION DEL GABINETE DEL CONSEJERO,30/11/2015
FATIMA ANSOTEGI ELORDI,DIRECTOR/A,6708702,03/01/2013,,8,08  SALUD,8,Departamento de Salud,8010000,DIRECCION DEL GABINETE DEL CONSEJERO,22/06/2016
NEREA ANTIA VINOS,ASESOR/A DE GESTION ESTRATEGICA,6656792,29/04/2013,,8,08  SALUD,8,Departamento de Salud,8000000,CONSEJERIA,30/11/2015
NEREA ANTIA VINOS,ASESOR/A DE GESTION ESTRATEGICA,6708702,29/04/2013,,8,08  SALUD,8,Departamento de Salud,8000000,CONSEJERIA,22/06/2016
MIKEL ANTON ZARRAGOITIA,DIRECTOR/A,6990914,19/04/2013,,1,01  LEHENDAKARITZA,1,Lehendakaritza,1220000,DIRECCION DE ASUNTOS EUROPEOS,30/11/2015
MIKEL ANTON ZARRAGOITIA,DIRECTOR/A,6990912,19/04/2013,,1,01  LEHENDAKARITZA,1,Lehendakaritza,1220000,DIRECCION DE ASUNTOS EUROPEOS,22/06/2016
JOSE NESTOR ARANA ARABAOLAZA,DIRECTOR/A,3962794,13/06/2015,,4,04  EMPLEO Y POLITICAS SOCIALES,53,LANBIDE Servicio Vasco de Empleo,53110000,DIRECCION DE SERVICIOS GENERALES,22/06/2016
ASIER ARANBARRI URZELAI,ASESOR/A EN MATERIA DE MODERNIZACION ADMNISTRATIVA,6708704,06/05/2013,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2000000,CONSEJERIA,30/11/2015
ASIER ARANBARRI URZELAI,ASESOR/A EN MATERIA DE MODERNIZACION ADMNISTRATIVA,6708702,06/05/2013,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,2,Departamento de Administracion Publica y Justicia,2000000,CONSEJERIA,22/06/2016
IªIGO ARCAUTE CORDON,DIRECTOR/A GESTION GR4,4006949,07/04/2014,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60112000,HOSPITAL LEZA,30/11/2015
IªIGO ARCAUTE CORDON,DIRECTOR/A GESTION GR4,5464004,07/04/2014,31/12/2015,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60112000,ORGANIZACION SANITARIA INTEGRADA ARABAKO ERRIOXA,22/06/2016
ANDONI ARCELAY SALAZAR,DIRECTOR/A GERENTE GR3,5416116,15/04/2015,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60135000,ORGANIZACION SANITARIA INTEGRADA ALTO DEBA,22/06/2016
CARMELO ARCELUS MUGICA,VICECONSEJERO/A,8479715,19/04/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5200000,VICECONSEJERIA DE ADMINISTRACION Y SERVICIOS GENERALES,30/11/2015
CARMELO ARCELUS MUGICA,VICECONSEJERO/A,8601727,19/04/2013,,5,05  HACIENDA Y FINANZAS,5,Departamento de Hacienda y Finanzas,5200000,VICECONSEJERIA DE ADMINISTRACION Y SERVICIOS GENERALES,22/06/2016
JORGE AREVALO TURRILLAS,VICECONSEJERO/A,8503671,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6300000,VICECONSEJERIA DE FORMACION PROFESIONAL,30/11/2015
JORGE AREVALO TURRILLAS,VICECONSEJERO/A,8623828,25/04/2013,,6,06  EDUCACION POLITICA LINGUISTICA Y CULTURA,6,Departamento de Educacion Politica Linguistica y Cultura,6300000,VICECONSEJERIA DE FORMACION PROFESIONAL,22/06/2016
MIREN KARMELE ARIAS MARTINEZ,DIRECTOR/A,7160240,25/01/2013,,7,07  SEGURIDAD,7,Departamento de Seguridad,7130000,DIRECCION DE RECURSOS HUMANOS,30/11/2015
MIREN KARMELE ARIAS MARTINEZ,DIRECTOR/A,7269518,25/01/2013,,7,07  SEGURIDAD,7,Departamento de Seguridad,7130000,DIRECCION DE RECURSOS HUMANOS,22/06/2016
JAVIER ARISPE RUIZ DE GAUNA,DIRECTOR/A DE PERSONAL GR1,7392074,26/01/2013,27/02/2015,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60111000,HOSPITAL UNIVERSITARIO ARABA,30/11/2015
JAVIER ARISPE RUIZ DE GAUNA,DIRECTOR/A DE PERSONAL GR1,1209988,26/01/2013,27/02/2015,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60111000,ORGANIZACION SANITARIA INTEGRADA ARABA,22/06/2016
JOSE MARIA ARMENTIA MACAZAGA,DIRECTOR/A DIVISION CORPORATIVA DE RECURSOS HUMANOS,7310002,18/02/2013,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60010000,DIRECCION GENERAL,30/11/2015
JOSE MARIA ARMENTIA MACAZAGA,DIRECTOR/A DIVISION CORPORATIVA DE RECURSOS HUMANOS,7310002,18/02/2013,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60010000,DIRECCION GENERAL,22/06/2016
ANTONIO ARRAIZA ARMENDARIZ,DIRECTOR/A DIVISION CORPORATIVA DE ASISTENCIA SANITARIA,8248237,24/01/2013,,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60010000,DIRECCION GENERAL,30/11/2015
ANTONIO ARRAIZA ARMENDARIZ,DIRECTOR/A DIVISION CORPORATIVA DE ASISTENCIA SANITARIA,8297187,24/01/2013,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60010000,DIRECCION GENERAL,22/06/2016
ASIER ARRESE ZABALA,DIRECTOR/A GERENTE,7759150,07/02/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,101,Fundacion Hazi,101010000,Fundacion Hazi,30/11/2015
ASIER ARRESE ZABALA,DIRECTOR/A GERENTE,7878023,07/02/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,101,Fundacion Hazi,101010000,DIRECCION GENERAL / GERENCIA,22/06/2016
PATXI XABIER ARRIETA GOIRI,DIRECTOR/A GENERAL,8181844,07/03/2013,02/07/2015,5,05  HACIENDA Y FINANZAS,172,Izenpe SA,172010000,Izenpe SA,30/11/2015
PATXI XABIER ARRIETA GOIRI,DIRECTOR/A GENERAL,4510156,07/03/2013,02/07/2015,5,05  HACIENDA Y FINANZAS,172,Izenpe SA,172010000,DIRECCION GENERAL / GERENCIA,22/06/2016
TOMAS ARRIETA HERAS,PRESIDENTE/A,8211533,27/02/2013,,88,88  Otros Entes LEY 1/2014 de 26 de junio,205,Consejo de Relaciones Laborales,205010000,Consejo de Relaciones Laborales,30/11/2015
TOMAS ARRIETA HERAS,PRESIDENTE/A,8265004,27/02/2013,,88,88  Otros Entes LEY 1/2014 de 26 de junio,205,CRL Consejo de Relaciones Laborales,205010000,PRESIDENCIA,22/06/2016
ALEXANDER ARRIOLA LIZARRITURRI,DIRECTOR/A GENERAL,8667400,22/03/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,136,SPRI Sociedad para la Transformacion Competitiva,136010000,SPRI Sociedad para la Transformacion Competitiva,30/11/2015
ALEXANDER ARRIOLA LIZARRITURRI,DIRECTOR/A GENERAL,8498517,22/03/2013,,3,03  DESARROLLO ECONOMICO Y COMPETITIVIDAD,136,SPRI Sociedad para la Transformacion Competitiva,136010000,DIRECCION GENERAL / GERENCIA,22/06/2016
JULIO ARRIOLA LIZARRITURRI,DIRECTOR/A CIENTIFICO GR1,8062694,16/08/2010,31/12/2014,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60131000,ORGANIZACION SANITARIA INTEGRADA DONOSTIALDEA,30/11/2015
MAITANE ARRIZABALAGA CALZACORTA,DIRECTOR/A DE PERSONAL GR1,7366654,15/02/2013,31/12/2014,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60121000,ORGANIZACION SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES,30/11/2015
MAITANE ARRIZABALAGA CALZACORTA,DIRECTOR/A DE PERSONAL GR1,7494177,01/01/2015,,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60121000,ORGANIZACION SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES,22/06/2016
IªAKI ARRIZABALAGA ORMAECHEA,DIRECTOR/A,7160240,25/04/2013,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4020000,DIRECCION DE SERVICIOS,30/11/2015
IªAKI ARRIZABALAGA ORMAECHEA,DIRECTOR/A,7263060,25/04/2013,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4020000,DIRECCION DE SERVICIOS,22/06/2016
JULIAN MALENTXO ARRUABARRENA,DIRECTOR/A GENERAL (RANGO VICECONSEJERO/A),8228563,16/01/2013,,7,07  SEGURIDAD,45,Academia Vasca de Policia y Emergencias,45100000,DIRECCION GENERAL,30/11/2015
JULIAN MALENTXO ARRUABARRENA,DIRECTOR/A GENERAL (RANGO VICECONSEJERO/A),8329257,16/01/2013,,7,07  SEGURIDAD,45,Academia Vasca de Policia y Emergencias,45100000,DIRECCION GENERAL,22/06/2016
AMAIA ARTEAGA DAªOBEITIA,DIRECTOR/A,3844730,13/06/2015,,4,04  EMPLEO Y POLITICAS SOCIALES,4,Departamento de Empleo y Politicas Sociales,4110000,DIRECCION DE PLANIFICACION E INNOVACION EN EL EMPLEO,22/06/2016
Mª LUISA ARTEAGOITIA GONZALEZ,DIRECTOR/A,7125247,19/04/2013,04/05/2015,8,08  SALUD,8,Departamento de Salud,8150000,DIRECCION DE PLANIFICACION ORDENACION Y EVALUACION SANITARIA,30/11/2015
Mª LUISA ARTEAGOITIA GONZALEZ,DIRECTOR/A,2442779,19/04/2013,04/05/2015,8,08  SALUD,8,Departamento de Salud,8150000,DIRECCION DE PLANIFICACION ORDENACION Y EVALUACION SANITARIA,22/06/2016
Mª LUISA ARTEAGOITIA GONZALEZ,DIRECTOR/A DEL INSTITUTO VASCO DE INNOVACION SANITARIA,4681405,05/05/2015,,8,08  SALUD,107,BIOEF Fundacion Vasca de Innovacion e Investigacion Sanitarias,107000000,DIRECCION GENERAL / GERENCIA,22/06/2016
EUGENIO ARTECHE PALOMAR,DIRECTOR/A,7147445,19/04/2013,,7,07  SEGURIDAD,7,Departamento de Seguridad,7120000,DIRECCION DE REGIMEN JURIDICO SERVICIOS Y PROCESOS ELECTORALES,30/11/2015
EUGENIO ARTECHE PALOMAR,DIRECTOR/A,7260159,19/04/2013,,7,07  SEGURIDAD,7,Departamento de Seguridad,7120000,DIRECCION DE REGIMEN JURIDICO SERVICIOS Y PROCESOS ELECTORALES,22/06/2016
BEATRIZ ARTOLAZABAL ALBENIZ,DIRECTOR/A DIVISION CORPORATIVA DE ECONOMICOFINANCIERO,7376272,17/01/2013,06/07/2015,8,08  SALUD,60,OSAKIDETZA  Servicio vasco de salud,60010000,DIRECCION GENERAL,30/11/2015
BEATRIZ ARTOLAZABAL ALBENIZ,DIRECTOR/A DIVISION CORPORATIVA DE ECONOMICOFINANCIERO,4055978,17/01/2013,06/07/2015,8,08  SALUD,60,OSAKIDETZA Servicio vasco de salud,60010000,DIRECCION GENERAL,22/06/2016
Mª TERESA ASTIGARRAGA GOENAGA,VOCAL COMISION JURIDICA ASESORA DE EUSKADI,7216317,04/03/2014,,2,02  ADMINISTRACION PUBLICA Y JUSTICIA,49,COJUAE Comision Juridica Asesora de Euskadi,49000000,COMISION JURIDICA ASESORA DE EUSKADI,30/11/2015
