Apellidos, Nombre;Cargo Publico;"Retribuciones2014
Retribuciones2015";Fecha Inicio Relacion;Fecha Fin Relacion;Id_Dpto;Departamento;Id_Organo;Organo;Id_Centro_Organico;Centro Organico;Fecha Actualizacion
ALBIZURI SANZ, ARANTZA;DIRECTOR/A ECONOMICO-FINANCIERO GR.3;67.812,38;06/05/2014;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60124000;ORGANIZACION SANITARIA INTEGRADA BARAKALDO-SESTAO;22/06/2016
ALCALDE AMUTXATEGI, JOSEBA ANDONI;ASESOR/A NORMATIVA HACENDISTICA Y FINANCIERA;84.882,45;19/04/2013;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5000000;CONSEJERIA;30/11/2015
ALCALDE AMUTXATEGI, JOSEBA ANDONI;ASESOR/A NORMATIVA HACENDISTICA Y FINANCIERA;86.132,70;19/04/2013;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5000000;CONSEJERIA;22/06/2016
ALDAY RUIZ, IGNACIO;DIRECTOR/A;67.087,04;01/08/2012;;5;05 - HACIENDA Y FINANZAS;54;Autoridad Vasca de la Competencia;54110000;DIRECCION DE INVESTIGACION;30/11/2015
ALDAY RUIZ, IGNACIO;DIRECTOR/A;67.087,02;01/08/2012;;5;05 - HACIENDA Y FINANZAS;54;Autoridad Vasca de la Competencia;54110000;DIRECCION DE INVESTIGACION;22/06/2016
ALDEKOA DE LA TORRE, JON ANDONI;DIRECTOR/A;36.413,17;23/10/2015;;1;01 - LEHENDAKARITZA;1;Lehendakaritza;1010000;DIRECCION DE COMUNICACION;22/06/2016
ALDEKOA DE LA TORRE, JON ANDONI;ASESOR/A DE LA SECRETARIA GENERAL DE PRESIDENCIA;12.798,09;07/04/2015;22/10/2015;1;01 - LEHENDAKARITZA;1;Lehendakaritza;1100000;SECRETARIA GENERAL DE LA PRESIDENCIA;22/06/2016
ALDEKOGARAI LABAKA, IÑAKI;DIRECTOR/A;71.602,40;25/04/2013;06/09/2015;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;3;Departamento de Desarrollo Economico y Competitividad;3020000;DIRECCION DE SERVICIOS;30/11/2015
ALDEKOGARAI LABAKA, IÑAKI;DIRECTOR/A;47.107,22;25/04/2013;06/09/2015;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;3;Departamento de Desarrollo Economico y Competitividad;3020000;DIRECCION DE SERVICIOS;22/06/2016
ALKIZA EIZAGUIRRE, MARIA EUGENIA;DIRECTOR/A DE COORDINACION ASISTENCIAL AREA MEDICA GR.3;71.158,92;23/04/2013;;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60133000;ORGANIZACION SANITARIA INTEGRADA BIDASOA;30/11/2015
ALKIZA EIZAGUIRRE, MARIA EUGENIA;DIRECTOR/A DE COORDINACION ASISTENCIAL AREA MEDICA GR.3;71.158,92;23/04/2013;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60133000;ORGANIZACION SANITARIA INTEGRADA BIDASOA;22/06/2016
ALKORTA IDIAKEZ, ITZIAR;VICECONSEJERO/A;82.624,77;27/12/2012;12/06/2015;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6400000;VICECONSEJERIA DE UNIVERSIDADES E INVESTIGACION;30/11/2015
ALKORTA IDIAKEZ, ITZIAR;VICECONSEJERO/A;37.435,11;27/12/2012;12/06/2015;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6400000;VICECONSEJERIA DE UNIVERSIDADES E INVESTIGACION;22/06/2016
ALONSO ALDAMA, FRANCISCO JAVIER;DIRECTOR/A;67.087,04;25/01/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6410000;DIRECCION DE UNIVERSIDADES;30/11/2015
ALONSO ALDAMA, FRANCISCO JAVIER;DIRECTOR/A;66.777,87;25/01/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6410000;DIRECCION DE UNIVERSIDADES;22/06/2016
ALONSO ARANA, MIREN MAITE;PRESIDENTE/A DEL CONSEJO ESCOLAR;72.074,29;10/09/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6000000;CONSEJERIA;30/11/2015
ALONSO ARANA, MIREN MAITE;PRESIDENTE/A DEL CONSEJO ESCOLAR;73.086,04;10/09/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6000000;CONSEJERIA;22/06/2016
ALONSO FERNANDEZ DE GARAYALDE, BELEN;ASESOR/A NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFOR;67.087,04;19/04/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;3;Departamento de Desarrollo Economico y Competitividad;3000000;CONSEJERIA;30/11/2015
ALONSO FERNANDEZ DE GARAYALDE, BELEN;ASESOR/A NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFOR;67.087,02;19/04/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;3;Departamento de Desarrollo Economico y Competitividad;3000000;CONSEJERIA;22/06/2016
ALUSTIZA FERNANDEZ, ADOLFO;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);84.318,03;27/12/2012;;4;04 - EMPLEO Y POLITICAS SOCIALES;53;LANBIDE, Servicio Vasco de Empleo;53100000;DIRECCION GENERAL;30/11/2015
ALUSTIZA FERNANDEZ, ADOLFO;DIRECTOR/A GENERAL (NIVEL VICECONSEJERO);84.357,80;27/12/2012;;4;04 - EMPLEO Y POLITICAS SOCIALES;53;LANBIDE, Servicio Vasco de Empleo;53100000;DIRECCION GENERAL;22/06/2016
ALVAREZ MARTINEZ, DAVID;ASESOR/A EN MATERIA JURIDICA, SUBVENCIONES Y CONTRATACION;14.972,94;13/10/2014;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5000000;CONSEJERIA;30/11/2015
ALVAREZ MARTINEZ, DAVID;ASESOR/A EN MATERIA JURIDICA, SUBVENCIONES Y CONTRATACION;68.849,24;13/10/2014;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5000000;CONSEJERIA;22/06/2016
AMEZQUETA ALEGRIA, MARIA TERESA;DIRECTOR/A;23.016,90;07/09/2015;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;3;Departamento de Desarrollo Economico y Competitividad;3020000;DIRECCION DE SERVICIOS;22/06/2016
AMILIBIA BERGARETXE, LIDE;VICECONSEJERO/A;73.459,31;13/06/2015;;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4200000;VICECONSEJERIA DE POLITICAS SOCIALES;22/06/2016
AMILIBIA BERGARETXE, LIDE;DIRECTOR/A;67.087,04;11/01/2013;12/06/2015;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4210000;DIRECCION DE SERVICIOS SOCIALES;30/11/2015
AMILIBIA BERGARETXE, LIDE;DIRECTOR/A;73.459,31;11/01/2013;12/06/2015;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4210000;DIRECCION DE SERVICIOS SOCIALES;22/06/2016
ANITUA ALDEKOA, PEDRO;DIRECTOR/A;72.731,24;10/12/2010;;7;07 - SEGURIDAD;7;Departamento de Seguridad;7210000;DIRECCION ATENCION EMERGENCIAS Y METEOROLOGIA;30/11/2015
ANITUA ALDEKOA, PEDRO;DIRECTOR/A;73.210,34;10/12/2010;;7;07 - SEGURIDAD;7;Departamento de Seguridad;7210000;DIRECCION ATENCION EMERGENCIAS Y METEOROLOGIA;22/06/2016
ANSOLA KAREAGA, IÑIGO;DIRECTOR/A GENERAL;78.674,00;30/01/2013;;9;09 - MEDIO AMBIENTE Y POLITICA TERRITORIAL;61;URA, Agencia Vasca del Agua;61100000;DIRECCION GENERAL;30/11/2015
ANSOLA KAREAGA, IÑIGO;DIRECTOR/A GENERAL;78.673,84;30/01/2013;;9;09 - MEDIO AMBIENTE Y POLITICA TERRITORIAL;61;URA, Agencia Vasca del Agua;61100000;DIRECCION GENERAL;22/06/2016
ANSOTEGI ELORDI, FATIMA;DIRECTOR/A;67.087,04;03/01/2013;;8;08 - SALUD;8;Departamento de Salud;8010000;DIRECCION DEL GABINETE DEL CONSEJERO;30/11/2015
ANSOTEGI ELORDI, FATIMA;DIRECTOR/A;67.087,02;03/01/2013;;8;08 - SALUD;8;Departamento de Salud;8010000;DIRECCION DEL GABINETE DEL CONSEJERO;22/06/2016
ANTIA VINOS, NEREA;ASESOR/A DE GESTION ESTRATEGICA;66.567,92;29/04/2013;;8;08 - SALUD;8;Departamento de Salud;8000000;CONSEJERIA;30/11/2015
ANTIA VINOS, NEREA;ASESOR/A DE GESTION ESTRATEGICA;67.087,02;29/04/2013;;8;08 - SALUD;8;Departamento de Salud;8000000;CONSEJERIA;22/06/2016
ANTON ZARRAGOITIA, MIKEL;DIRECTOR/A;69.909,14;19/04/2013;;1;01 - LEHENDAKARITZA;1;Lehendakaritza;1220000;DIRECCION DE ASUNTOS EUROPEOS;30/11/2015
ANTON ZARRAGOITIA, MIKEL;DIRECTOR/A;69.909,12;19/04/2013;;1;01 - LEHENDAKARITZA;1;Lehendakaritza;1220000;DIRECCION DE ASUNTOS EUROPEOS;22/06/2016
ARANA ARABAOLAZA, JOSE NESTOR;DIRECTOR/A;39.627,94;13/06/2015;;4;04 - EMPLEO Y POLITICAS SOCIALES;53;LANBIDE, Servicio Vasco de Empleo;53110000;DIRECCION DE SERVICIOS GENERALES;22/06/2016
ARANBARRI URZELAI, ASIER;ASESOR/A EN MATERIA DE MODERNIZACION ADMNISTRATIVA;67.087,04;06/05/2013;;2;02 - ADMINISTRACION PUBLICA Y JUSTICIA;2;Departamento de Administracion Publica y Justicia;2000000;CONSEJERIA;30/11/2015
ARANBARRI URZELAI, ASIER;ASESOR/A EN MATERIA DE MODERNIZACION ADMNISTRATIVA;67.087,02;06/05/2013;;2;02 - ADMINISTRACION PUBLICA Y JUSTICIA;2;Departamento de Administracion Publica y Justicia;2000000;CONSEJERIA;22/06/2016
ARCAUTE CORDON, IÑIGO;DIRECTOR/A GESTION GR.4;40.069,49;07/04/2014;;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60112000;HOSPITAL LEZA;30/11/2015
ARCAUTE CORDON, IÑIGO;DIRECTOR/A GESTION GR.4;54.640,04;07/04/2014;31/12/2015;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60112000;ORGANIZACION SANITARIA INTEGRADA ARABAKO ERRIOXA;22/06/2016
ARCELAY SALAZAR, ANDONI;DIRECTOR/A GERENTE GR.3;54.161,16;15/04/2015;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60135000;ORGANIZACION SANITARIA INTEGRADA ALTO DEBA;22/06/2016
ARCELUS MUGICA, CARMELO;VICECONSEJERO/A;84.797,15;19/04/2013;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5200000;VICECONSEJERIA DE ADMINISTRACION Y SERVICIOS GENERALES;30/11/2015
ARCELUS MUGICA, CARMELO;VICECONSEJERO/A;86.017,27;19/04/2013;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5200000;VICECONSEJERIA DE ADMINISTRACION Y SERVICIOS GENERALES;22/06/2016
AREVALO TURRILLAS, JORGE;VICECONSEJERO/A;85.036,71;25/04/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6300000;VICECONSEJERIA DE FORMACION PROFESIONAL;30/11/2015
AREVALO TURRILLAS, JORGE;VICECONSEJERO/A;86.238,28;25/04/2013;;6;06 - EDUCACION, POLITICA LINGUISTICA Y CULTURA;6;Departamento de Educacion, Politica Linguistica y Cultura;6300000;VICECONSEJERIA DE FORMACION PROFESIONAL;22/06/2016
ARIAS MARTINEZ, MIREN KARMELE;DIRECTOR/A;71.602,40;25/01/2013;;7;07 - SEGURIDAD;7;Departamento de Seguridad;7130000;DIRECCION DE RECURSOS HUMANOS;30/11/2015
ARIAS MARTINEZ, MIREN KARMELE;DIRECTOR/A;72.695,18;25/01/2013;;7;07 - SEGURIDAD;7;Departamento de Seguridad;7130000;DIRECCION DE RECURSOS HUMANOS;22/06/2016
ARISPE RUIZ DE GAUNA, JAVIER;DIRECTOR/A DE PERSONAL GR.1;73.920,74;26/01/2013;27/02/2015;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60111000;HOSPITAL UNIVERSITARIO ARABA;30/11/2015
ARISPE RUIZ DE GAUNA, JAVIER;DIRECTOR/A DE PERSONAL GR.1;12.099,88;26/01/2013;27/02/2015;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60111000;ORGANIZACION SANITARIA INTEGRADA ARABA;22/06/2016
ARMENTIA MACAZAGA, JOSE MARIA;DIRECTOR/A DIVISION CORPORATIVA DE RECURSOS HUMANOS;73.100,02;18/02/2013;;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60010000;DIRECCION GENERAL;30/11/2015
ARMENTIA MACAZAGA, JOSE MARIA;DIRECTOR/A DIVISION CORPORATIVA DE RECURSOS HUMANOS;73.100,02;18/02/2013;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60010000;DIRECCION GENERAL;22/06/2016
ARRAIZA ARMENDARIZ, ANTONIO;DIRECTOR/A DIVISION CORPORATIVA DE ASISTENCIA SANITARIA;82.482,37;24/01/2013;;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60010000;DIRECCION GENERAL;30/11/2015
ARRAIZA ARMENDARIZ, ANTONIO;DIRECTOR/A DIVISION CORPORATIVA DE ASISTENCIA SANITARIA;82.971,87;24/01/2013;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60010000;DIRECCION GENERAL;22/06/2016
ARRESE ZABALA, ASIER;DIRECTOR/A GERENTE;77.591,50;07/02/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;101;Fundacion Hazi;101010000;Fundacion Hazi;30/11/2015
ARRESE ZABALA, ASIER;DIRECTOR/A GERENTE;78.780,23;07/02/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;101;Fundacion Hazi;101010000;DIRECCION GENERAL / GERENCIA;22/06/2016
ARRIETA GOIRI,XABIER PATXI;DIRECTOR/A GENERAL;81.818,44;07/03/2013;02/07/2015;5;05 - HACIENDA Y FINANZAS;172;Izenpe, S.A.;172010000;Izenpe, S.A.;30/11/2015
ARRIETA GOIRI,XABIER PATXI;DIRECTOR/A GENERAL;45.101,56;07/03/2013;02/07/2015;5;05 - HACIENDA Y FINANZAS;172;Izenpe, S.A.;172010000;DIRECCION GENERAL / GERENCIA;22/06/2016
ARRIETA GOIRI, XABIER PATXI;DIRECTOR/A;33.182,26;03/07/2015;;5;05 - HACIENDA Y FINANZAS;5;Departamento de Hacienda y Finanzas;5210000;DIRECCION DE INFORMATICA Y TELECOMUNICACIONES;22/06/2016
ARRIETA HERAS, TOMAS;PRESIDENTE/A;82.115,33;27/02/2013;;88;88 - Otros Entes, LEY 1/2014, de 26 de junio;205;Consejo de Relaciones Laborales;205010000;Consejo de Relaciones Laborales;30/11/2015
ARRIETA HERAS, TOMAS;PRESIDENTE/A;82.650,04;27/02/2013;;88;88 - Otros Entes, LEY 1/2014, de 26 de junio;205;CRL, Consejo de Relaciones Laborales;205010000;PRESIDENCIA;22/06/2016
ARRIOLA LIZARRITURRI, ALEXANDER;DIRECTOR/A GENERAL;86.674,00;22/03/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;136;SPRI, Sociedad para la Transformacion Competitiva;136010000;SPRI, Sociedad para la Transformacion Competitiva;30/11/2015
ARRIOLA LIZARRITURRI, ALEXANDER;DIRECTOR/A GENERAL;84.985,17;22/03/2013;;3;03 - DESARROLLO ECONOMICO Y COMPETITIVIDAD;136;SPRI, Sociedad para la Transformacion Competitiva;136010000;DIRECCION GENERAL / GERENCIA;22/06/2016
ARRIZABALAGA AGUIRREAZALDEGUI, JULIO;DIRECTOR/A CIENTIFICO GR.1;80.626,94;16/08/2010;31/12/2014;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60131000;ORGANIZACION SANITARIA INTEGRADA DONOSTIALDEA;30/11/2015
ARRIZABALAGA CALZACORTA, MAITANE;DIRECTOR/A DE PERSONAL GR.1;73.666,54;15/02/2013;31/12/2014;8;08 - SALUD;60;OSAKIDETZA - Servicio vasco de salud;60121000;ORGANIZACION SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES;30/11/2015
ARRIZABALAGA CALZACORTA, MAITANE;DIRECTOR/A DE PERSONAL GR.1;74.941,77;01/01/2015;;8;08 - SALUD;60;OSAKIDETZA, Servicio vasco de salud;60121000;ORGANIZACION SANITARIA INTEGRADA EZKERRALDEA ENKARTERRI CRUCES;22/06/2016
ARRIZABALAGA ORMAECHEA, IÑAKI;DIRECTOR/A;71.602,40;25/04/2013;;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4020000;DIRECCION DE SERVICIOS;30/11/2015
ARRIZABALAGA ORMAECHEA, IÑAKI;DIRECTOR/A;72.630,60;25/04/2013;;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4020000;DIRECCION DE SERVICIOS;22/06/2016
ARRUABARRENA JULIAN, MALENTXO;DIRECTOR/A GENERAL (RANGO VICECONSEJERO/A);82.285,63;16/01/2013;;7;07 - SEGURIDAD;45;Academia Vasca de Policia y Emergencias;45100000;DIRECCION GENERAL;30/11/2015
ARRUABARRENA JULIAN, MALENTXO;DIRECTOR/A GENERAL (RANGO VICECONSEJERO/A);83.292,57;16/01/2013;;7;07 - SEGURIDAD;45;Academia Vasca de Policia y Emergencias;45100000;DIRECCION GENERAL;22/06/2016
ARTEAGA DAÑOBEITIA, AMAIA;DIRECTOR/A;38.447,30;13/06/2015;;4;04 - EMPLEO Y POLITICAS SOCIALES;4;Departamento de Empleo y Politicas Sociales;4110000;DIRECCION DE PLANIFICACION E INNOVACION EN EL EMPLEO;22/06/2016
ARTEAGOITIA GONZALEZ, Mª LUISA;DIRECTOR/A;71.252,47;19/04/2013;04/05/2015;8;08 - SALUD;8;Departamento de Salud;8150000;DIRECCION DE PLANIFICACION, ORDENACION Y EVALUACION SANITARIA;30/11/2015
ARTEAGOITIA GONZALEZ, Mª LUISA;DIRECTOR/A;24.427,79;19/04/2013;04/05/2015;8;08 - SALUD;8;Departamento de Salud;8150000;DIRECCION DE PLANIFICACION, ORDENACION Y EVALUACION SANITARIA;22/06/2016
ARTEAGOITIA GONZALEZ, Mª LUISA;DIRECTOR/A DEL INSTITUTO VASCO DE INNOVACION SANITARIA;46.814,05;05/05/2015;;8;08 - SALUD;107;BIOEF, Fundacion Vasca de Innovacion e Investigacion Sanitarias;107000000;DIRECCION GENERAL / GERENCIA;22/06/2016
